	TSNE_1	TSNE_2
128	-3.523443	-1.746998
129	-1.4595822	-2.6628544
130	4.802457	-6.9673123
131	-1.7266761	-6.2721596
132	5.7609463	-0.07430681
133	6.5827875	2.3156648
134	6.247714	2.6424098
135	1.0407925	-3.0123694
136	-0.8604964	-2.0370183
137	6.104617	10.875028
138	-8.256422	-5.604246
139	5.809892	11.171268
140	5.5158916	6.4743934
141	-3.5582492	-6.6995544
142	-10.096784	-0.7385395
143	-6.976174	-1.0743334
144	6.3873196	-5.1814175
145	-1.0984421	9.558781
146	5.1327095	2.838011
147	2.2766583	6.099846
148	-0.3413699	-10.557276
149	-0.64279354	9.499629
150	10.355931	8.807906
151	6.2861443	10.466056
152	-0.07218426	-3.7714539
153	-1.7281148	6.9968333
154	5.6817336	-1.3615375
155	5.5650005	8.950771
156	-3.4619634	-5.5411596
157	0.36490723	9.179257
158	-1.8519505	7.7043796
159	-2.3325367	-11.04503
160	-1.3011823	-4.9605966
161	-8.768275	6.167607
162	4.6669865	-3.5258453
163	-2.2443047	-10.127336
164	-1.0743829	-4.34207
165	-9.933261	-6.103308
166	-9.363995	-5.756528
167	1.4756931	-5.9451904
168	9.946952	5.1163926
169	7.084847	-2.9652202
170	7.5916405	6.7031574
171	-1.0225751	-0.36153865
172	0.58044606	0.6700011
173	-6.307386	-4.0404897
174	5.6510196	-2.6625118
175	5.8992753	-2.5955474
176	6.978897	5.2743487
177	0.48452017	-4.711178
178	-3.342435	-0.97390723
179	6.8532786	-2.6295953
180	9.119821	-5.6018553
181	4.878161	-1.1524528
182	-12.873261	-1.685034
183	-2.5834093	4.6219335
184	5.7093806	-5.079285
185	5.535207	-4.82197
186	6.549738	9.712199
187	-0.83557266	-1.3772582
188	-0.2396186	-0.6146852
189	7.689008	-4.3529344
190	1.126414	-1.1886503
191	8.32666	7.1588616
192	3.9916124	-3.3980346
193	-7.6627474	-4.8344793
194	-5.526638	-2.855277
195	6.2611704	-0.7449682
196	4.103445	10.046518
197	3.8531222	3.5558648
198	3.534546	4.3244815
199	-3.685288	-2.1038594
200	3.2883162	0.27010763
201	-3.5239527	-5.2891645
202	0.58238304	-6.9902263
203	2.1255898	-10.724976
204	4.3366485	-2.4026465
205	1.4899833	-0.021445997
206	-2.9469702	-3.0915756
207	-7.936084	7.1100283
208	-5.8699627	7.6685643
209	-1.9006746	-3.2091165
210	-4.6492357	7.8881583
211	-8.350498	6.8397193
212	-1.7289376	-7.6209693
213	6.963254	1.6878948
214	-1.6699935	-4.297324
215	-7.4688635	-6.9607806
216	-4.577083	-10.73392
217	-0.324795	-5.648114
218	-8.926378	6.024609
219	-8.458145	6.635006
220	0.24967891	-3.1206717
221	6.9807005	1.829967
222	-7.252648	7.0883884
223	-3.0949607	-4.039766
224	4.188755	0.19431522
