label	TSNE_1	TSNE_2
CENTRAL_NERVOUS_SYSTEM	-24.275354	-17.478231
HALT	-18.631517	1.4422483
HALT	-58.16689	76.78152
HALT	-32.02117	57.55348
HALT	-2.430475	93.43737
HALT	-54.792366	98.573425
HALT	-4.8920813	99.65063
STOMACH 	79.41389	-32.61273
HALT	-1.2335696	97.58311
HALT	-28.136972	89.32137
STOMACH 	58.62177	-38.24415
HALT	-44.306618	69.7139
CENTRAL_NERVOUS_SYSTEM	-28.462038	-26.067053
HALT	-6.6758904	97.494995
HALT	-28.016634	52.086018
HALT	-18.83702	-0.7231445
LARGE_INTESTINE	54.876816	-37.097523
HALT	-46.244072	66.59019
HALT	-32.8843	54.579353
KIDNEY 	1.0936793	21.006567
KIDNEY 	-3.0482183	14.665605
KIDNEY 	0.6025521	21.655521
KIDNEY 	-6.5718017	23.73827
HALT	-35.347084	43.282402
HALT	-31.52556	56.10733
HALT	-32.0039	45.103004
HALT	-32.43591	52.165623
HALT	-29.402672	50.392204
HALT	-36.473595	49.432568
HALT	-28.81747	51.177223
HALT	-33.887135	44.769238
HALT	-34.22562	44.42425
CENTRAL_NERVOUS_SYSTEM	-27.738678	-33.527348
CENTRAL_NERVOUS_SYSTEM	-18.726002	-11.446563
LUNG	15.432904	18.477161
CENTRAL_NERVOUS_SYSTEM	-26.129284	-29.774984
HALT	-6.743007	100.53125
HALT	-49.502247	92.00674
PANCREAS	28.456211	3.3557463
PANCREAS	33.29407	3.7921317
PANCREAS	-0.49549794	-30.562271
BREAST	67.06541	9.005301
CENTRAL_NERVOUS_SYSTEM	-53.147198	-14.747159
HALT	4.5850835	86.6318
OVARY	12.382382	7.1576905
HALT	7.367105	90.42656
HALT	-49.441647	62.259884
PANCREAS	22.913754	-1.8966528
HALT	-32.8402	49.508575
HALT	-43.93364	65.49248
HALT	-47.646965	64.32046
HALT	6.3339534	88.6343
LUNG	23.30309	19.075645
LUNG	-14.1432	-7.9987946
LUNG	22.381577	-21.649843
LUNG	47.34317	-42.739826
STOMACH 	-13.44559	-22.007952
CENTRAL_NERVOUS_SYSTEM	6.048858	-37.382473
CENTRAL_NERVOUS_SYSTEM	-24.01474	-22.286623
CENTRAL_NERVOUS_SYSTEM	-35.24906	-68.93255
CENTRAL_NERVOUS_SYSTEM	-31.39013	-29.916643
CENTRAL_NERVOUS_SYSTEM	-28.837963	-34.12449
CENTRAL_NERVOUS_SYSTEM	-29.99768	-29.491474
CENTRAL_NERVOUS_SYSTEM	4.7855215	-36.839333
CENTRAL_NERVOUS_SYSTEM	12.367194	16.327518
CENTRAL_NERVOUS_SYSTEM	-51.046963	-16.449472
CENTRAL_NERVOUS_SYSTEM	-33.177227	-80.49547
CENTRAL_NERVOUS_SYSTEM	14.771933	-4.221799
HALT	-22.208706	93.413605
LUNG	-35.646835	-14.97723
LARGE_INTESTINE	63.51528	-47.9169
SKIN	-8.668635	-14.589152
HALT	-35.39995	48.606106
LARGE_INTESTINE	72.72606	-41.91117
LARGE_INTESTINE	39.63848	3.521618
LARGE_INTESTINE	63.093033	-40.896305
LARGE_INTESTINE	55.595192	-38.616623
LARGE_INTESTINE	69.06582	-37.44821
LUNG	39.21861	-7.9677696
LUNG	-4.1327224	-25.035854
LUNG	22.229336	-2.9784982
LUNG	11.454309	-15.387219
CENTRAL_NERVOUS_SYSTEM	-29.889273	-17.446016
HALT	3.867065	87.85447
SKIN	-36.21324	-83.58411
HALT	-52.895084	79.27864
OVARY	30.77201	-1.2059716
BREAST	67.9619	8.045203
BREAST	68.38648	13.777299
BREAST	-23.284554	-25.91912
BREAST	34.87897	-0.22233306
BREAST	-4.44816	-18.423258
BREAST	60.022663	10.354485
BREAST	30.418377	2.5884657
SKIN	-32.205173	-70.419815
BREAST	8.64236	-11.625808
BREAST	61.796127	15.03902
BREAST	31.888317	-12.849227
LARGE_INTESTINE	-14.221628	-15.664693
HALT	-8.252716	100.073814
HALT	-46.769005	69.46139
HALT	5.437012	87.79786
SKIN	-32.783966	-82.08735
SKIN	-37.66213	-71.553825
SKIN	-35.0436	-86.95294
HALT	-51.75951	100.73686
