	TSNE_1	TSNE_2
138	-46.0609	-59.8336
139	-72.55341	60.943287
140	-106.83282	4.5767617
141	-9.702774	2.7451026
142	-28.659826	112.303734
143	-6.215523	101.71156
144	71.815834	42.814503
145	121.42926	-27.613106
146	104.78536	-15.394756
147	74.06803	-20.134724
148	-25.64227	-67.68732
149	117.85417	-25.901068
150	-140.93433	13.489441
151	-74.31518	58.642525
152	22.358158	-9.133719
153	83.167496	-66.44453
154	60.962433	-31.672007
155	-92.7287	41.40866
156	-8.850072	-12.027406
157	106.45706	-26.787745
158	81.66266	-63.531513
159	-8.868485	-24.87635
160	3.1075735	-9.569863
161	40.268982	79.803795
162	47.41418	51.194187
163	-11.568634	-32.635666
164	20.568369	-30.943903
165	-88.23292	21.117538
166	-92.641655	17.830956
167	30.08225	-17.4977
168	-114.7197	-9.475693
169	76.7525	25.364008
170	-101.43187	-21.024021
171	-8.585701	22.846403
172	-5.9100175	44.62804
173	-26.607454	-59.83677
174	78.856094	-82.89229
175	80.67074	-79.99878
176	-93.76015	-23.076189
177	5.409261	10.135716
178	-1.4294754	-59.2444
179	46.785778	32.307377
180	80.24942	-50.95302
181	47.343845	9.830082
182	-39.72145	72.72945
183	20.37108	-105.07376
184	80.755295	46.362087
185	73.27664	49.996426
186	-87.568	57.24899
187	-7.6021104	25.254068
188	-2.3624623	34.369823
189	57.799633	11.415262
190	6.642338	36.215363
191	-103.148735	-33.20483
192	6.0620866	98.739006
193	-35.760464	-58.779667
194	-13.159233	-63.88678
195	64.751236	-35.127834
196	-94.83332	21.302992
197	-35.3266	37.186245
198	-38.724396	41.626534
199	-4.5126753	-60.148
200	33.08314	62.269123
201	-9.583235	-20.848545
202	11.24215	-20.083845
203	-0.08032199	-59.024254
204	44.79719	31.215431
205	3.7727108	59.571552
206	2.9317572	-46.51796
207	49.11817	81.437126
208	54.05026	73.73445
209	11.652975	-14.026943
210	56.581657	31.433138
211	44.612644	83.705086
212	49.112072	-43.035
213	95.383156	-12.270357
214	12.884299	-15.21097
215	-59.655693	-50.46323
216	59.20173	-63.279842
217	19.586922	-26.063076
218	40.88716	83.46142
219	44.477966	82.12393
220	29.949566	-12.797377
221	96.07995	-12.273236
222	46.53308	79.44907
223	6.5468473	-1.8534838
224	29.350367	56.059208
225	31.649412	10.834622
226	30.686224	58.688946
227	-52.07539	-39.09308
228	118.74859	-40.245552
229	28.671448	-11.203612
230	47.556015	34.682022
231	19.765682	14.930557
232	-37.79568	-13.967894
233	-18.193447	39.174404
234	-12.922658	25.545483
235	44.51672	51.528828
236	51.61182	-38.920216
237	-47.00984	-40.06501
238	-51.424934	-51.80764
239	-39.958042	69.679634
240	-40.258434	69.20047
241	32.343628	62.5989
242	32.78853	69.03625
243	32.038593	68.46531
244	-83.973076	20.023678
245	-10.976916	44.928883
246	-46.105686	-37.331802
247	-13.699995	-51.991657
248	45.333187	8.914027
249	10.533132	-24.386507
250	57.522617	9.036317
251	60.836708	16.811872
252	45.23582	7.8428144
253	21.504139	34.282658
254	58.963978	10.140087
255	14.7159195	-28.321636
256	-22.324038	-34.83406
257	-118.88013	-4.6304646
258	27.462713	-4.4808044
259	-119.51877	-3.8716018
260	76.96764	-50.55375
261	80.91218	-50.668873
262	-9.895414	46.932102
263	10.202734	50.270813
264	-80.238914	42.077484
265	-112.807045	-22.93448
266	-8.041074	99.67236
267	-0.652757	35.59042
268	66.44932	-13.4689
269	75.2899	26.571644
270	-28.224041	-88.407906
271	-102.75913	-23.210957
272	-2.2455633	25.64919
273	15.624598	-4.522382
274	1.5706064	32.561756
275	22.331049	-38.204136
276	49.958534	-48.1761
277	-142.1632	11.788928
278	-49.409748	-60.940853
279	-6.7925286	105.40853
280	-13.408375	106.25991
281	-13.051165	108.39054
282	-25.314964	105.45801
283	9.088051	-97.75403
284	-25.209734	109.93503
285	-44.68002	113.53109
286	-32.10729	108.11614
287	-46.467285	113.69904
288	-91.27594	39.423565
289	-27.343437	108.93254
290	-6.7856555	99.29068
291	-10.776653	101.18768
292	-27.242975	-40.12162
293	-23.961454	104.95763
294	-1.7696556	-94.75853
295	-27.784407	110.1769
296	-46.950943	111.409424
297	-22.89082	93.24899
298	-34.220383	107.48338
299	-46.942837	112.91694
300	-48.73263	110.23339
301	-14.768917	-33.135242
302	-18.07935	113.21839
303	33.10708	-40.651928
304	-48.719093	114.26954
305	-47.736782	111.71607
306	-32.825417	108.032974
307	-28.697561	108.35557
308	-19.141262	110.69496
309	-8.049443	98.66648
310	-4.1414266	-95.113
311	-11.034585	107.601555
312	-7.4798827	106.14551
313	-5.0320787	98.18165
314	-5.978261	103.476006
315	-18.384474	111.10555
316	23.150183	-108.52981
317	9.959736	-87.69537
318	-26.849003	106.99994
319	9.188134	37.74347
320	-49.642624	28.968218
321	2.9005084	36.641872
322	-58.591526	-53.995346
323	7.233029	37.838737
