Gene	AU565_BREAST	BT20_BREAST	BT474_BREAST	BT483_BREAST	BT549_BREAST	CAL120_BREAST	CAL148_BREAST	CAL51_BREAST	CAL851_BREAST	CAMA1_BREAST	DU4475_BREAST	EFM192A_BREAST	EFM19_BREAST	HCC1143_BREAST	HCC1187_BREAST	HCC1395_BREAST	HCC1419_BREAST	HCC1428_BREAST	HCC1500_BREAST	HCC1569_BREAST	HCC1599_BREAST	HCC1806_BREAST	HCC1937_BREAST	HCC1954_BREAST	HCC202_BREAST	HCC2157_BREAST	HCC2218_BREAST	HCC38_BREAST	HCC70_BREAST	HDQP1_BREAST	HMC18_BREAST	HMEL_BREAST	HS578T_BREAST	JIMT1_BREAST	KPL1_BREAST	MCF7_BREAST	MDAMB134VI_BREAST	MDAMB157_BREAST	MDAMB175VII_BREAST	MDAMB231_BREAST	MDAMB361_BREAST	MDAMB415_BREAST	MDAMB436_BREAST	MDAMB453_BREAST	MDAMB468_BREAST	SKBR3_BREAST	T47D_BREAST	UACC812_BREAST	UACC893_BREAST	ZR751_BREAST	ZR7530_BREAST
EPAS1	105.4	98.14	2.71	20.08	60.8	10.75	13.85	1.75	33.49	1.14	5.75	37.7	11.61	48.65	5.84	84.58	28.86	42.97	5.31	127.55	10.15	35.11	31.72	49.16	32.29	25.29	50.27	28.09	103.08	16.69	0.61	76.14	68.03	20.6	21.08	5.72	16.29	8.39	162.14	23.35	32.53	45.43	95.33	17.48	59.01	97.12	24.0	40.34	240.24	18.95	21.12
WNK2	14.99	10.27	11.64	17.04	0.09	5.34	48.54	14.76	8.49	10.54	42.89	4.28	15.87	15.38	123.7	11.59	0.51	5.55	21.07	12.98	50.9	4.21	39.23	49.46	31.0	60.71	30.37	96.25	27.9	4.4	6.69	0.44	0.02	39.03	15.65	2.89	12.23	10.3	23.19	0.02	11.02	2.26	58.24	2.72	23.85	10.63	2.2	2.91	10.69	20.73	21.33
HOXD11	0.0	0.04	0.04	0.02	0.01	0.0	0.25	3.99	0.02	0.07	6.34	0.0	0.0	0.13	0.15	0.02	0.06	0.07	0.01	0.02	0.06	7.97	0.05	0.17	0.02	0.02	0.0	0.22	0.0	0.0	0.0	0.09	0.0	0.0	0.02	0.0	0.0	5.91	0.0	0.03	0.03	0.0	0.32	0.0	0.0	0.01	0.02	0.02	0.03	0.0	0.0
FOXR1	0.0	0.02	0.0	0.0	0.0	0.02	0.06	0.0	0.01	0.0	0.0	0.0	0.1	0.0	0.19	0.12	0.11	0.0	0.02	0.0	0.02	0.01	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.13	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0
COL1A1	5.57	11.03	23.09	6.92	252.53	5.42	0.88	7.11	5.03	8.18	0.74	13.22	14.37	31.02	7.0	118.32	35.22	19.59	12.27	1.55	13.92	9.42	9.19	5.79	38.3	6.01	26.29	180.06	13.22	17.98	8.25	18.03	6820.2	4.8	6.7	9.01	25.79	146.32	25.43	3.99	40.53	16.02	8.29	42.18	8.72	3.91	45.93	3.3	24.51	31.99	13.32
DGCR8	17.9	22.72	19.61	39.33	24.63	10.63	15.95	42.92	10.22	32.24	27.97	17.8	16.0	52.91	30.16	18.17	18.47	19.57	30.55	40.68	44.47	12.03	29.31	24.89	16.19	43.74	15.1	42.47	29.37	13.7	13.77	28.46	15.93	13.58	16.55	15.49	31.59	39.11	24.76	21.77	43.99	36.78	17.4	41.74	26.41	18.71	17.74	17.63	13.91	42.27	22.98
SMARCE1	243.49	93.28	107.0	212.41	8.08	96.9	183.51	272.98	66.0	167.05	115.89	204.64	212.64	54.72	135.86	98.84	65.12	78.75	80.52	131.95	162.13	69.62	107.91	169.59	97.99	76.95	40.62	228.57	61.29	94.29	151.38	67.33	66.94	39.97	93.57	89.27	191.12	143.94	106.43	140.13	91.04	140.72	82.34	70.78	100.08	312.19	178.62	245.67	89.21	117.42	66.94
HIP1	13.38	3.05	11.21	13.25	8.03	0.65	29.75	18.01	4.04	14.48	27.9	4.95	7.6	10.26	38.24	18.43	10.66	13.86	24.89	5.76	3.92	3.42	2.92	13.32	35.32	5.99	1.35	14.82	5.41	5.9	3.96	10.5	10.01	8.31	18.1	4.8	11.06	22.57	6.84	5.59	13.32	0.43	21.22	0.66	5.54	4.51	23.65	4.81	0.55	4.72	4.48
ERBB4	0.01	0.08	1.12	0.59	0.02	0.24	2.29	12.6	0.02	7.3	0.01	0.01	0.04	0.05	0.04	0.0	3.41	1.4	2.72	0.08	0.01	0.35	0.05	0.01	0.73	0.22	0.02	0.73	0.0	0.09	2.56	0.01	0.23	0.0	0.19	0.24	0.07	0.0	0.04	0.1	0.11	2.54	0.05	0.36	0.01	0.07	4.43	0.09	0.12	2.27	0.11
MAX	74.99	46.86	65.79	90.15	48.22	40.35	87.05	29.03	18.88	47.17	39.03	52.69	65.99	39.45	66.14	58.97	47.8	52.03	55.87	31.22	42.91	15.82	45.94	43.28	80.52	41.21	58.67	75.61	64.78	34.8	50.44	47.03	58.56	49.88	45.48	63.97	66.73	44.34	56.94	59.66	53.16	65.33	52.48	78.92	55.93	64.36	77.46	21.39	27.22	30.66	78.68
MLLT6	38.66	67.71	266.64	57.75	17.03	24.15	102.0	60.61	16.32	39.07	182.59	39.33	82.73	27.84	52.25	33.02	14.25	23.26	29.68	45.02	153.71	22.67	45.3	60.02	159.45	47.12	14.67	78.51	33.68	47.01	41.34	44.85	29.75	35.38	34.08	14.62	122.69	21.23	66.78	22.23	118.99	20.79	19.74	43.48	32.47	36.71	50.83	137.25	32.82	55.29	574.17
MN1	0.04	0.13	0.03	0.19	0.22	0.2	0.03	1.02	0.03	1.85	0.01	0.06	0.61	8.76	0.05	2.44	4.25	0.13	0.63	0.53	0.02	0.25	1.09	0.22	0.01	0.33	4.08	0.07	0.24	0.3	0.15	3.34	13.55	0.03	0.07	0.05	0.12	4.01	0.17	0.07	0.76	0.1	3.09	0.22	1.13	0.07	0.5	0.11	1.57	0.22	0.05
CASP8	24.36	55.23	21.97	12.32	15.66	30.59	15.63	28.34	10.05	15.57	21.49	10.33	14.23	21.98	9.12	23.17	9.45	20.37	11.05	7.12	11.35	16.05	27.0	26.6	18.34	7.95	11.15	21.12	37.12	11.63	13.14	25.06	11.91	20.86	6.67	7.94	3.74	20.45	13.23	22.33	24.72	6.05	57.02	14.29	26.31	20.87	9.3	5.78	8.92	14.99	8.49
XPA	9.38	10.27	9.31	10.44	16.97	13.86	12.27	26.07	7.2	17.51	8.85	10.57	15.37	5.29	8.76	7.93	7.46	13.96	15.82	4.56	2.35	7.97	32.2	6.37	11.22	6.28	8.62	11.07	6.25	6.03	14.11	8.64	3.9	17.5	10.65	12.2	15.76	22.17	11.34	21.76	11.97	13.13	6.77	7.27	9.98	8.76	11.27	4.53	7.52	14.98	12.83
CYP2C8	0.02	0.02	0.06	0.01	0.05	0.04	0.17	0.23	0.01	0.01	0.0	0.01	0.13	0.14	0.52	0.0	0.0	0.05	0.33	0.87	0.03	0.16	0.18	0.17	0.0	0.04	0.02	0.01	0.04	0.03	0.0	0.2	0.0	0.0	0.16	0.78	0.02	0.04	0.29	0.03	0.16	0.11	0.0	0.07	0.16	0.03	0.0	2.09	0.02	0.08	0.05
NCOR1	47.49	125.9	36.27	23.24	56.42	30.11	61.43	86.41	32.24	36.24	57.77	69.46	20.99	41.71	42.26	36.67	70.53	36.11	28.45	37.97	15.19	28.72	44.24	53.17	25.5	19.68	13.18	72.53	40.72	31.18	37.56	38.18	36.16	34.43	44.18	39.33	19.25	39.18	27.27	48.32	38.11	28.76	24.15	55.68	29.74	25.66	23.58	17.1	13.06	24.47	19.62
YWHAE	610.92	1431.4	589.25	778.23	1179.7	845.53	1164.3	977.76	1095.9	510.97	957.01	451.35	479.74	545.03	742.26	985.81	588.82	613.82	645.24	1346.7	508.31	204.13	931.88	758.43	654.43	648.84	290.87	672.79	608.77	578.82	657.72	611.64	878.1	815.33	931.75	1221.8	721.34	654.62	825.85	1191.9	913.87	713.81	1250.0	646.74	730.63	389.81	876.49	330.59	162.49	457.3	382.52
NRAS	20.89	83.26	20.72	16.81	74.72	49.36	0.46	37.6	22.0	37.18	27.92	22.39	17.24	31.43	13.81	19.27	1.82	23.46	19.43	1.43	24.15	12.9	38.55	35.96	26.04	26.03	1.07	48.68	26.92	22.07	28.92	11.1	34.23	9.09	162.52	76.32	34.72	35.52	6.87	43.77	22.65	7.5	24.8	15.94	46.68	15.14	13.49	2.95	7.43	3.05	7.61
CRTC3	12.17	17.05	8.98	8.73	9.65	5.39	20.44	13.74	5.41	7.75	6.4	6.44	16.73	28.05	17.41	18.88	7.35	14.46	16.41	23.05	33.95	3.44	9.08	12.46	9.6	14.1	6.3	28.3	11.91	7.61	8.94	8.26	13.0	15.05	16.51	11.01	11.97	21.75	18.85	6.99	17.89	10.23	17.61	6.83	7.91	7.63	12.76	14.16	12.54	19.37	14.31
NFKB2	25.74	11.02	4.46	19.88	39.7	12.25	8.69	42.16	25.33	23.34	7.97	19.24	9.71	57.97	46.74	22.17	10.57	23.48	8.02	22.37	5.76	25.16	17.01	17.25	30.1	14.24	17.02	16.96	22.09	18.31	119.53	31.98	37.39	21.6	15.95	12.4	4.33	9.21	27.78	26.12	16.33	22.24	58.61	8.62	24.46	21.91	21.39	30.46	21.66	19.01	8.97
SEPT9	133.65	135.39	110.12	258.44	100.12	222.48	126.82	84.13	103.7	75.18	242.18	124.42	48.79	186.23	198.14	304.18	253.9	281.24	160.09	305.29	116.28	89.07	158.49	187.33	185.52	130.63	245.98	333.67	135.49	84.08	27.06	146.03	83.09	402.44	193.72	194.71	74.64	103.16	408.44	168.8	458.09	46.63	104.38	145.75	200.87	229.06	213.17	143.28	129.45	205.83	124.69
SS18	47.07	32.66	67.61	58.51	67.16	37.7	45.14	103.82	44.13	53.16	62.9	32.18	28.78	72.77	143.08	110.75	46.25	45.19	74.29	61.86	69.4	18.81	78.39	76.29	49.51	33.97	43.52	146.93	50.26	41.37	59.43	58.25	45.17	16.95	45.86	58.5	57.49	35.38	34.38	66.31	63.67	69.21	36.64	56.68	49.4	35.52	53.18	44.97	57.11	115.19	27.7
PTPN6	34.96	81.67	25.17	44.04	0.14	21.15	31.12	12.87	23.25	16.19	37.24	18.01	21.77	24.39	35.76	25.93	28.97	30.75	40.92	13.1	11.05	25.65	34.7	31.86	29.76	10.1	13.52	16.58	38.4	33.63	0.59	25.67	0.26	37.68	58.2	35.56	49.51	0.21	50.59	4.97	62.77	31.07	1.28	28.46	22.28	34.51	9.63	30.83	46.31	97.26	18.55
NT5C2	56.43	30.36	48.82	42.54	97.91	40.23	50.63	96.89	45.15	14.39	41.69	52.88	55.22	86.06	70.62	67.22	42.68	64.61	18.21	44.99	44.19	47.97	96.88	101.77	44.18	67.88	43.86	59.31	108.11	83.69	23.04	67.54	34.58	54.66	77.33	54.82	51.91	43.31	466.44	103.58	125.34	56.1	29.31	28.21	96.97	31.77	52.33	276.7	165.82	97.98	48.31
NR4A3	1.49	0.29	0.02	0.13	1.11	0.15	0.02	0.09	0.57	0.04	0.03	0.11	0.03	0.23	0.33	0.72	0.15	0.16	0.12	0.24	0.15	0.03	0.24	0.09	0.25	0.43	0.07	0.12	0.01	0.06	0.26	0.08	0.69	0.35	0.16	0.55	0.01	0.46	0.19	0.19	0.11	0.11	0.95	0.01	0.27	0.88	0.03	0.05	1.66	0.32	0.01
SDHB	166.84	111.69	90.78	59.65	142.47	179.57	93.99	84.25	63.25	121.27	76.31	74.44	66.54	94.67	60.64	154.48	84.77	265.13	88.38	133.99	74.16	68.13	117.44	110.58	79.38	135.25	56.78	70.97	160.03	51.03	162.71	65.48	112.33	105.1	93.62	97.27	102.87	149.59	38.24	109.54	112.83	119.26	154.31	112.77	89.56	114.61	74.19	39.43	120.84	85.31	42.18
DAXX	99.46	91.39	61.7	72.23	149.1	62.48	102.08	72.03	58.18	125.36	81.25	57.26	59.32	88.1	110.83	95.96	50.8	54.34	93.75	73.62	69.11	59.03	72.39	91.99	93.86	47.26	33.1	94.06	75.99	58.23	50.38	37.98	96.38	81.06	44.17	55.6	85.86	51.54	35.08	79.65	59.25	67.56	73.57	65.52	121.5	74.08	68.44	29.17	49.72	36.45	39.95
CLIP1	26.12	48.75	27.65	46.43	35.19	30.08	16.69	26.7	24.52	19.2	12.69	44.2	24.49	38.59	23.12	38.06	47.23	19.68	28.07	30.21	41.07	17.48	26.33	37.02	43.06	16.53	26.51	59.24	31.83	10.98	46.93	35.91	33.98	37.06	22.08	22.9	30.15	15.95	38.55	38.5	35.52	54.79	61.11	15.55	27.94	22.42	24.22	19.56	43.22	36.75	41.25
NSD1	25.2	25.97	22.23	26.45	15.42	19.65	21.81	24.22	4.21	39.4	27.1	19.18	12.76	29.74	19.17	16.84	16.6	16.41	16.86	11.93	18.82	7.73	26.7	67.92	6.79	17.71	12.95	23.41	18.95	8.69	13.29	13.24	13.65	12.76	26.61	23.71	20.74	16.37	12.06	11.99	16.06	12.61	26.32	19.35	26.85	13.49	13.7	7.53	11.26	14.87	15.49
FANCG	43.0	35.23	124.59	35.09	66.86	20.55	55.91	92.54	27.38	63.36	47.22	53.37	115.12	61.5	46.88	39.24	20.5	47.36	62.21	43.18	70.53	29.66	60.26	35.28	41.46	94.36	13.22	31.38	83.71	21.37	38.45	29.25	18.97	33.56	49.58	35.63	88.48	58.18	28.41	52.42	80.67	40.43	59.94	74.43	118.24	34.77	43.04	45.06	42.59	61.34	19.47
CALR	507.91	477.6	412.69	551.18	1849.2	1317.1	793.49	1005.8	996.29	471.04	506.12	265.37	769.8	770.72	1323.6	921.58	520.84	429.57	617.81	2401.3	232.85	1524.5	989.82	732.96	487.16	575.52	324.93	836.27	1101.8	785.24	432.23	1017.6	2365.4	495.14	490.32	727.54	280.02	934.82	554.02	1246.9	739.76	1111.8	1015.2	670.72	781.47	527.02	920.86	531.01	287.3	204.26	468.73
PRPF40B	15.16	9.62	9.11	27.55	3.61	3.69	17.54	9.54	4.06	10.39	14.82	13.89	14.28	9.09	4.52	10.22	12.75	12.82	11.01	11.36	12.98	9.29	6.37	11.52	21.98	8.04	9.45	12.19	10.97	9.99	12.26	35.89	10.42	5.47	10.12	11.08	39.11	12.22	14.44	5.07	20.46	19.6	7.4	9.07	9.96	9.2	27.17	31.17	16.76	24.2	23.69
U2AF1	208.74	363.19	151.84	121.75	162.13	134.83	217.12	284.06	147.17	137.23	224.25	134.37	167.47	225.5	201.19	178.13	172.19	218.8	228.93	346.25	204.61	83.69	199.4	284.04	353.8	193.05	134.42	209.78	166.32	115.26	197.56	122.8	159.01	253.59	270.14	357.52	197.23	407.84	186.8	229.05	210.3	190.68	155.57	242.19	437.23	195.03	190.82	182.0	135.84	78.06	109.46
HOXD13	0.02	0.03	0.03	0.02	0.02	0.01	0.02	1.62	0.0	0.02	5.82	0.0	0.0	0.06	1.46	0.01	0.01	0.09	0.02	1.16	0.45	2.89	0.0	0.07	0.0	0.0	0.0	0.02	0.0	0.04	0.2	0.01	0.15	0.0	0.01	0.01	0.0	2.52	0.0	0.0	2.11	0.02	0.25	0.0	0.0	0.01	0.01	0.09	0.01	0.02	0.01
ANK1	1.97	0.14	0.1	0.29	11.04	60.28	0.14	24.08	0.13	1.57	0.07	1.11	0.02	1.46	0.71	6.2	0.23	0.1	2.35	0.09	0.14	2.63	5.15	0.2	0.03	0.0	0.06	1.15	0.09	0.14	0.2	3.1	5.93	6.09	0.3	0.38	38.3	3.82	0.88	6.64	0.8	0.2	0.58	0.03	1.49	1.95	2.78	0.69	1.25	0.43	0.1
GLI1	0.03	0.17	0.05	0.07	1.3	0.29	0.04	2.9	0.01	0.05	0.03	0.8	0.16	0.71	0.05	2.32	0.03	0.25	0.39	1.34	0.38	0.95	0.03	0.22	0.12	0.03	0.14	0.58	0.81	0.05	7.24	0.23	2.55	0.08	0.28	0.07	1.4	1.77	0.27	0.09	0.38	0.26	1.55	0.14	0.09	0.02	0.07	0.07	0.0	0.0	0.88
ATF1	18.28	35.52	11.14	16.48	22.93	11.61	14.02	28.7	13.12	18.05	34.53	20.34	23.28	18.72	12.76	13.23	13.8	23.07	17.18	19.41	38.61	12.77	21.46	19.9	11.83	11.65	11.0	31.26	21.24	9.39	32.69	14.77	15.59	18.12	31.28	24.87	33.29	25.34	10.0	24.24	22.08	17.47	19.12	20.83	20.55	12.45	21.19	14.26	11.16	14.91	11.44
TFEB	6.53	6.21	0.94	3.73	1.03	3.32	5.39	1.65	5.82	8.11	9.98	7.71	4.55	3.9	1.73	8.18	7.35	1.78	2.65	6.66	6.94	10.74	8.19	1.84	2.57	8.68	1.82	31.02	14.68	6.8	2.15	13.62	5.62	9.37	2.01	0.34	3.1	8.36	1.9	5.35	8.02	7.36	5.49	5.09	9.21	13.02	3.71	3.61	2.61	3.86	6.76
PRKCB	0.01	0.11	0.05	0.04	0.06	0.07	0.03	0.11	0.02	0.02	0.0	0.32	0.01	0.11	0.12	0.07	0.06	0.14	0.06	0.05	0.02	0.09	0.05	0.14	0.0	0.05	0.0	0.0	0.07	0.0	0.01	0.06	0.0	0.05	0.04	0.0	0.13	0.03	0.11	0.06	0.02	0.06	10.98	0.07	0.15	0.03	0.04	0.03	0.05	0.08	0.04
HNRNPA2B1	1233.0	1246.5	1562.1	888.49	1401.8	645.01	1233.9	1478.2	708.17	1163.9	1694.1	630.58	1018.5	828.84	1384.8	935.22	1204.9	1327.0	1022.6	1113.9	651.82	550.77	1371.4	1523.7	1179.9	980.02	698.81	1003.3	1448.7	609.88	1190.7	742.01	720.58	897.0	1518.5	1245.0	997.84	1311.1	726.82	1113.5	1436.9	952.53	1158.6	1375.8	1709.0	1075.8	1239.4	1093.0	1089.1	1109.4	1018.3
TNC	0.23	7.61	25.35	0.31	31.59	3.94	0.16	0.31	60.7	0.46	0.1	2.11	19.22	142.2	694.06	276.6	0.11	0.24	4.92	2.63	1.36	0.23	2.22	63.34	10.07	6.29	8.1	397.79	92.89	3.6	0.62	14.0	32.12	0.52	0.48	0.06	0.99	60.31	0.19	11.35	36.57	19.95	121.7	208.43	14.12	0.25	0.1	0.65	2.58	0.96	15.87
PDGFRB	0.26	0.01	0.12	0.1	0.52	0.75	0.05	6.26	0.09	0.09	0.14	0.1	0.12	0.31	1.82	0.28	0.01	0.07	0.04	0.04	0.0	0.24	0.36	0.08	0.2	0.08	0.02	1.43	0.31	0.34	0.36	0.39	105.01	0.03	0.11	0.01	0.03	161.7	0.15	2.07	1.32	0.1	0.28	0.15	0.08	0.32	0.11	0.13	0.03	0.18	0.07
BMPR1A	4.76	4.36	7.13	7.92	12.46	8.51	8.07	20.98	4.2	12.98	0.02	5.06	5.73	6.45	20.68	6.9	7.04	19.66	10.4	10.09	10.29	6.49	3.92	12.87	9.07	4.99	4.49	21.84	10.55	3.47	7.16	8.88	5.93	4.55	5.05	4.92	12.84	6.09	5.62	6.1	14.13	2.78	6.03	1.76	7.85	3.96	9.43	7.24	12.21	6.08	7.31
PAX5	0.01	0.03	0.0	0.03	0.18	0.01	0.03	0.07	0.02	0.04	3.0	0.04	0.02	0.02	0.07	0.07	0.03	0.05	0.08	0.05	0.02	0.05	0.07	0.07	0.02	1.52	0.01	0.6	0.01	0.03	0.0	0.0	0.02	0.02	0.27	0.05	0.08	0.02	0.01	0.04	0.21	0.02	0.11	0.05	0.06	0.05	0.01	0.07	0.03	0.18	0.03
SMARCD1	39.89	54.07	53.36	63.73	61.18	38.38	70.32	112.22	16.6	57.48	58.2	43.3	46.27	46.74	70.79	68.86	30.52	51.39	34.29	56.05	35.78	26.85	46.19	32.68	51.11	33.67	22.63	98.32	35.05	32.26	68.59	45.51	24.66	36.02	51.51	38.48	53.12	54.88	41.43	64.43	72.74	64.47	33.99	49.92	35.84	30.48	67.57	34.43	32.31	32.83	36.27
TNFRSF14	3.66	1.22	0.06	7.1	1.45	0.97	0.26	11.03	1.52	0.1	33.52	11.34	0.44	9.02	27.71	0.33	0.13	0.25	0.37	1.96	0.23	35.16	3.27	0.9	1.52	5.61	0.21	10.74	25.93	19.37	0.11	47.27	1.74	1.37	0.34	0.17	65.51	4.5	5.59	13.88	17.68	33.26	0.46	0.37	7.96	1.74	7.85	0.27	0.16	6.72	4.08
FES	0.9	0.47	0.05	0.22	0.04	0.23	3.34	0.61	3.65	0.45	0.35	0.23	0.2	1.38	1.54	0.52	0.01	0.85	0.44	16.45	1.23	0.16	1.06	0.07	0.14	7.13	0.4	9.72	6.82	2.19	0.17	0.04	0.03	0.12	0.3	0.18	1.25	0.31	0.41	0.3	0.15	0.07	0.09	0.18	0.35	2.01	0.0	0.2	0.16	0.04	0.13
LCP1	16.99	207.17	5.74	5.79	0.95	11.79	1.82	0.44	2.04	5.16	0.26	4.19	13.22	1.87	3.03	301.93	12.34	13.36	5.67	3.11	2.26	69.51	94.64	6.54	6.35	0.51	3.12	303.33	4.74	66.36	0.33	9.85	37.7	0.85	3.0	7.33	27.07	1.73	31.77	0.8	9.9	255.37	1.68	5.49	1.98	38.34	3.16	2.19	4.41	11.07	5.37
MUTYH	8.36	19.17	12.62	10.83	18.03	9.47	12.46	39.38	7.15	9.31	36.66	8.72	11.65	28.79	14.14	21.56	10.88	23.41	25.19	9.41	33.57	9.08	20.54	15.24	24.81	16.45	6.78	25.99	30.85	15.24	11.37	21.63	5.96	40.95	22.27	12.53	30.03	16.51	8.03	14.78	23.98	26.0	30.37	20.55	22.67	12.76	12.78	27.86	24.11	23.64	13.52
ASXL2	17.19	15.46	4.78	7.67	6.3	6.51	6.69	9.39	3.76	8.78	8.93	7.47	4.76	14.94	9.75	11.05	11.23	10.95	3.64	9.4	4.41	1.97	9.79	10.14	8.04	14.33	2.64	14.09	9.63	5.81	9.01	8.16	15.09	13.11	10.73	5.99	5.1	8.47	7.32	11.29	10.16	2.14	3.52	1.93	16.33	6.75	4.44	1.87	6.28	5.45	3.84
ABL2	7.23	5.17	2.7	10.43	31.59	12.93	7.75	7.74	4.84	10.93	8.35	4.54	5.63	15.09	9.63	30.34	4.3	5.91	3.08	7.47	39.98	3.36	10.07	9.02	5.88	7.03	4.33	24.97	11.23	4.37	7.51	10.51	20.95	15.31	4.26	3.63	4.65	7.58	6.94	27.94	7.02	2.21	32.7	3.94	9.88	4.81	4.96	3.42	4.95	7.95	8.01
SRSF3	131.83	211.28	165.18	136.85	156.2	128.5	176.68	202.41	121.2	195.55	193.68	130.82	177.72	141.4	204.98	158.59	172.63	153.11	204.21	247.84	226.45	103.79	167.92	206.01	145.3	202.86	119.55	191.81	133.38	124.32	148.77	84.78	140.74	155.56	159.69	138.42	244.31	229.21	127.43	229.36	222.19	191.94	150.99	190.84	236.31	111.55	141.85	76.84	118.89	161.26	143.82
TRIM33	25.75	66.91	11.84	18.97	13.44	13.41	13.29	26.92	7.37	21.32	20.64	18.58	15.47	16.89	13.25	10.1	16.45	30.17	9.71	10.52	19.27	6.7	23.8	18.2	17.58	14.05	9.07	25.75	30.51	8.89	9.57	13.63	10.74	5.25	120.8	53.76	20.22	12.14	9.76	16.78	12.2	9.59	10.62	8.97	27.52	16.24	9.54	9.34	6.57	13.98	18.01
CBFA2T3	0.0	2.06	12.64	27.69	0.01	0.03	5.42	0.06	0.04	12.62	2.87	3.93	0.41	0.03	0.1	0.04	0.66	9.07	18.17	0.12	0.17	1.54	0.02	0.16	0.03	0.01	2.81	0.63	0.02	0.02	0.2	0.2	0.02	71.84	57.02	17.48	8.93	1.22	0.12	0.14	12.63	0.1	4.09	0.0	0.1	0.0	40.32	5.3	0.05	15.6	2.7
KDSR	21.41	11.7	22.69	11.22	24.65	26.66	20.89	19.96	13.41	16.23	18.71	15.49	4.23	41.22	19.08	15.79	8.21	16.34	67.47	20.17	30.58	20.16	9.32	31.13	15.83	13.98	14.92	19.34	24.05	8.91	47.4	95.38	41.43	16.1	10.46	8.1	9.49	11.76	7.95	32.7	31.29	4.52	29.02	10.05	20.29	15.03	10.9	11.63	7.46	19.27	7.53
TMEM127	38.54	43.64	21.31	31.23	15.94	19.61	30.03	16.48	15.82	27.62	20.23	25.38	19.25	37.75	18.93	29.62	25.7	44.32	29.71	22.16	10.11	9.97	26.48	28.9	57.17	13.98	13.27	28.12	25.18	14.73	18.22	24.44	25.96	41.69	26.31	21.31	18.92	13.44	42.16	21.58	37.18	29.48	27.34	18.07	25.19	33.86	16.02	12.4	33.12	17.0	19.28
JAZF1	0.2	1.42	0.41	4.93	0.57	1.27	0.11	0.43	1.39	1.22	7.03	0.37	1.17	0.64	3.65	5.45	0.05	3.19	0.29	4.58	0.85	1.62	1.34	1.49	0.13	0.81	0.13	3.68	1.21	2.07	0.9	2.92	19.31	3.38	1.03	0.32	0.14	5.38	0.17	2.06	0.62	0.07	7.39	0.07	0.54	0.3	1.54	0.82	0.29	2.14	1.0
MSI2	19.59	61.27	37.88	43.12	8.29	13.32	49.47	48.97	3.51	16.97	130.37	35.55	54.1	11.83	0.41	15.9	47.93	55.0	48.44	29.01	21.91	10.47	42.15	58.53	58.94	24.16	28.96	43.27	7.61	13.9	28.63	25.11	10.2	28.92	68.93	109.33	41.72	23.31	33.31	1.33	56.3	15.55	11.46	14.76	18.39	12.8	24.09	23.17	102.8	54.96	102.14
TERT	0.21	0.06	0.46	0.71	0.11	0.14	0.86	2.24	0.03	0.05	1.18	0.45	0.27	7.73	7.23	2.59	0.01	0.41	0.09	0.43	1.09	3.58	0.71	0.42	1.64	0.48	0.3	0.07	4.12	0.08	1.25	82.02	0.17	3.51	1.46	1.24	0.17	0.19	0.11	0.59	0.87	0.05	0.91	0.33	0.18	0.98	0.4	4.57	0.22	0.94	0.11
FLI1	0.1	0.02	0.03	0.05	0.61	0.1	0.03	0.05	0.53	0.07	0.11	0.07	0.05	0.19	0.13	0.34	0.02	0.04	0.05	0.05	0.01	0.41	0.17	0.19	0.07	0.1	0.0	0.17	0.1	0.09	0.18	4.78	7.55	0.04	0.03	0.0	0.04	4.81	0.01	0.21	1.74	0.11	2.4	0.01	0.49	0.02	0.0	0.27	0.08	0.33	0.08
CIC	15.32	33.36	16.46	36.88	39.21	20.08	46.01	36.5	10.06	28.33	26.58	32.49	22.55	41.35	35.25	30.06	19.73	30.87	25.24	31.43	16.28	7.65	28.24	32.74	20.25	8.89	14.36	39.17	37.78	11.01	36.17	35.72	45.68	20.8	27.98	20.84	24.08	14.77	27.6	24.82	34.43	42.63	22.54	34.24	36.89	16.52	18.68	24.78	12.41	19.66	24.09
ZMYM2	22.26	64.99	31.83	67.33	26.67	16.33	27.09	41.3	10.36	40.37	37.29	20.48	60.82	43.1	75.08	32.39	27.99	22.37	14.81	26.34	28.91	8.42	26.66	25.54	27.11	29.74	10.27	85.33	31.45	13.2	25.03	33.24	22.19	4.22	41.94	30.38	16.07	0.13	29.54	9.42	26.47	21.88	17.79	25.6	26.14	15.45	22.45	24.18	16.39	39.34	19.09
ACVR2A	3.94	5.04	4.25	2.61	1.9	2.65	1.05	11.22	2.08	2.99	6.31	2.43	2.22	4.34	5.9	2.48	6.49	3.36	4.35	5.06	2.61	2.26	3.16	8.21	3.59	2.48	0.72	3.9	4.43	2.92	3.21	5.32	6.01	1.44	2.09	2.55	5.27	2.59	3.36	2.27	3.36	3.46	2.69	3.2	2.69	2.24	1.51	1.88	3.35	2.28	1.91
