Gene	AU565_BREAST	BT20_BREAST	BT474_BREAST	BT483_BREAST	BT549_BREAST	CAL120_BREAST	CAL148_BREAST	CAL51_BREAST	CAL851_BREAST	CAMA1_BREAST	DU4475_BREAST	EFM192A_BREAST	EFM19_BREAST	HCC1143_BREAST	HCC1187_BREAST	HCC1395_BREAST	HCC1419_BREAST	HCC1428_BREAST	HCC1500_BREAST	HCC1569_BREAST	HCC1599_BREAST	HCC1806_BREAST	HCC1937_BREAST	HCC1954_BREAST	HCC202_BREAST	HCC2157_BREAST	HCC2218_BREAST	HCC38_BREAST	HCC70_BREAST	HDQP1_BREAST	HMC18_BREAST	HMEL_BREAST	HS578T_BREAST	JIMT1_BREAST	KPL1_BREAST	MCF7_BREAST	MDAMB134VI_BREAST	MDAMB157_BREAST	MDAMB175VII_BREAST	MDAMB231_BREAST	MDAMB361_BREAST	MDAMB415_BREAST	MDAMB436_BREAST	MDAMB453_BREAST	MDAMB468_BREAST	SKBR3_BREAST	T47D_BREAST	UACC812_BREAST	UACC893_BREAST	ZR751_BREAST	ZR7530_BREAST
MYB	15.08	2.07	16.99	20.49	2.84	0.89	25.71	1.33	3.56	7.46	19.09	5.72	19.66	1.54	6.43	0.93	38.86	15.64	46.6	0.68	13.08	0.55	1.93	6.77	4.39	8.73	5.41	4.17	5.0	1.6	0.85	0.45	0.4	0.4	20.05	34.06	52.27	0.74	6.68	0.42	25.19	2.22	1.27	15.67	6.64	5.33	12.59	7.5	14.15	17.5	7.87
MGMT	6.35	8.53	7.28	12.83	12.84	13.91	24.74	21.98	9.94	17.72	5.11	13.33	2.92	11.46	10.94	9.49	12.73	15.02	18.45	22.57	10.27	15.07	58.36	2.16	11.33	17.36	10.6	13.77	13.84	8.1	14.68	0.68	0.12	18.59	26.43	26.95	16.76	6.25	21.61	0.08	1.8	37.04	34.4	11.59	10.59	4.86	15.77	15.25	0.02	20.27	11.21
BCL7A	0.04	2.96	24.28	38.33	3.72	6.43	35.41	23.8	2.38	6.07	30.13	12.1	15.32	8.08	26.66	4.67	16.94	15.78	20.54	2.84	11.62	7.26	6.27	6.66	27.22	8.58	13.99	6.89	5.1	2.55	8.59	12.36	4.01	19.87	11.83	10.33	23.04	5.89	15.03	4.55	25.24	1.91	16.29	8.38	6.16	0.91	15.17	6.87	16.84	8.76	12.69
CLP1	15.67	12.38	17.18	10.23	17.18	16.8	13.68	14.53	12.95	13.51	4.71	8.82	20.4	23.76	30.93	21.9	10.72	15.24	16.89	17.23	12.33	17.46	22.71	27.67	25.39	12.8	10.85	22.55	12.83	8.78	17.85	19.92	14.23	20.16	7.28	6.17	15.29	13.12	5.26	18.25	13.89	12.51	18.38	22.33	27.48	13.31	27.09	7.56	12.14	5.73	12.05
RPL5	1485.9	730.83	776.56	470.73	1309.2	2441.4	1106.2	1136.6	584.64	1165.2	805.24	761.46	1266.4	637.27	1178.5	1853.0	772.57	957.69	583.79	669.99	2255.9	826.4	1374.7	924.27	395.21	1670.8	1189.5	721.87	975.64	800.64	1380.6	607.68	940.7	785.53	883.42	723.0	1779.1	1356.5	360.34	1259.5	610.34	487.54	712.07	771.25	1325.1	1241.9	668.07	462.27	393.19	1088.5	990.24
SSX2	3.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.09	0.0	0.0	0.0	0.02	0.09	0.0	0.0	0.07	0.0	0.0	0.0	0.02	0.2	5.44	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.02	0.0	0.0	0.02	3.79	0.94	0.02	0.0	0.09	0.07	0.17	0.04	0.0	0.08	0.0
MUC4	0.77	0.83	0.11	0.18	0.02	0.09	0.06	0.04	1.78	0.23	0.02	0.66	0.08	0.54	0.5	0.08	0.22	0.88	0.13	0.06	0.25	9.66	44.9	0.75	0.42	0.15	0.29	0.08	20.79	76.07	0.08	0.05	0.04	1.12	0.03	0.11	0.19	0.2	0.98	2.53	0.28	0.21	0.08	0.18	0.35	0.18	0.13	0.16	0.14	0.08	0.09
FGFR3	2.7	5.45	12.68	42.94	1.71	0.55	0.65	56.3	0.68	5.86	12.9	20.02	51.78	12.42	7.54	0.92	52.07	3.15	6.84	13.03	1.7	41.04	43.36	1.38	4.15	0.97	9.18	8.7	1.47	1.77	0.92	116.52	4.81	9.16	10.69	2.49	4.15	5.21	4.43	3.81	41.06	7.45	1.49	1.27	2.88	6.01	17.6	7.98	17.48	17.75	2.4
CCND2	0.03	0.04	0.03	0.07	0.03	0.04	0.05	0.41	0.03	0.03	0.03	0.06	0.05	0.05	0.13	0.26	0.04	0.06	0.04	0.03	0.07	0.13	0.05	0.15	0.06	0.01	0.01	0.02	0.02	0.35	0.01	57.38	0.06	0.07	0.08	0.06	0.06	0.03	0.03	0.17	0.05	0.03	2.88	0.03	0.11	0.04	0.03	0.05	0.03	0.12	0.02
MTCP1	13.89	32.11	6.72	8.68	45.58	12.47	14.34	12.51	14.33	14.31	10.78	20.45	10.89	9.57	12.06	27.53	9.69	42.28	27.92	7.96	8.39	10.3	12.47	17.62	22.1	7.51	4.03	24.26	21.61	8.46	10.31	3.19	5.95	16.25	9.94	11.12	19.94	51.05	8.19	8.48	17.83	18.94	28.8	26.46	29.05	9.71	7.05	23.84	13.17	21.57	7.69
SRSF2	176.52	212.69	241.45	187.7	206.15	182.99	261.94	347.7	140.76	276.73	288.06	164.85	195.91	423.68	189.97	243.29	191.52	362.7	324.32	249.94	193.92	140.1	249.5	231.56	250.26	273.61	210.78	328.8	192.91	136.59	273.11	188.16	83.54	172.82	241.02	241.89	158.43	321.87	151.41	233.89	514.21	275.75	150.53	270.07	307.27	196.78	236.32	246.93	150.07	273.8	186.23
AFF1	5.75	12.52	9.19	11.96	4.49	7.24	16.13	19.77	5.56	14.3	4.95	7.77	8.09	4.81	4.91	9.82	14.4	8.85	10.51	12.37	2.77	5.74	12.39	17.61	7.69	3.29	6.29	9.86	14.51	4.82	6.1	13.34	7.89	17.92	5.34	5.31	8.19	5.28	8.05	10.17	11.98	10.52	6.57	8.17	6.57	6.26	5.96	3.3	8.57	7.25	19.06
ITGAV	26.58	68.9	10.25	11.2	47.38	22.06	11.17	127.98	43.44	11.21	8.3	11.74	9.36	97.75	78.28	77.4	24.45	16.26	11.96	36.97	12.08	22.52	43.54	52.17	15.07	7.11	9.64	60.67	66.07	21.49	16.08	50.89	116.75	25.88	16.98	18.98	5.89	68.81	22.76	23.41	18.31	17.28	50.4	14.9	51.65	13.49	13.54	6.54	30.16	18.82	9.67
WT1	0.01	0.03	0.0	0.3	0.05	0.03	0.34	1.89	0.04	5.06	0.07	0.01	0.88	0.01	1.09	0.46	0.01	1.27	4.08	5.26	1.38	0.01	2.51	5.88	0.05	0.0	0.01	0.45	0.35	3.21	2.14	0.08	1.76	5.18	0.0	0.04	3.5	3.87	0.29	3.7	1.6	0.31	2.66	0.0	11.79	0.01	1.92	4.97	0.02	2.09	0.01
NOTCH1	7.31	7.0	5.84	19.57	2.36	4.55	9.76	12.29	2.25	8.16	73.37	8.81	17.83	16.03	62.03	7.27	2.81	4.79	4.35	18.02	50.4	7.69	9.56	9.76	9.57	23.29	18.24	14.47	23.02	3.63	2.99	103.12	11.16	8.95	13.4	6.3	0.28	3.86	10.51	9.4	4.53	1.59	9.64	8.57	9.43	6.17	4.62	2.76	6.27	6.42	6.43
